Alloted Quota,Alloted Category,State,College,Course,Course Fee,2024 R1,2024 R2,2024 R3,2024 R4,2024 R5,2023 R1,2023 R2,2023 R3,2023 R4,2022 R1,2022 R2,2022 R3,2022 R4
All India Quota,EWS,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD RADIODIAGNOSIS,124150,386 (1),740 (1),740 (1),-,-,625 (1),625 (1),625 (1),-,-,-,-,-
All India Quota,EWS,Chandigarh,"Government Medical College, Chandigarh",MD RADIODIAGNOSIS,34500,433 (1),433 (1),433 (1),-,-,426 (1),426 (1),426 (1),-,-,-,-,-
All India Quota,Open,Punjab,"Government Medical College, Patiala",MD RADIODIAGNOSIS,125000,349 (2),503 (2),503 (2),-,-,431 (1),825 (1),783 (1),-,-,497 (1),497 (1),-
All India Quota,Open,Madhya Pradesh,"Gandhi Medical College, Bhopal",MD RADIODIAGNOSIS,101500,394 (2),394 (2),816 (2),2186 (1),3394 (1),691 (2),691 (2),691 (2),-,-,696 (2),1197 (2),1691 (1)
All India Quota,OBC,Telangana,"Nizams Institute of Medical Sciences, Hyderabad",MD GENERAL MEDICINE,72000,419 (2),419 (2),453 (2),-,-,362 (2),362 (2),362 (2),-,-,334 (2),334 (2),-
DNB Quota,Open,Maharashtra,"PD Hinduja National Hospital & Medical Research Centre, Mumbai",DNB RADIODIAGNOSIS,125000,425 (2),712 (2),712 (2),-,-,578 (2),731 (2),989 (2),-,-,793 (2),1016 (2),-
All India Quota,EWS,Karnataka,"Bangalore Medical College & Research Institute, Bangalore",MD GENERAL MEDICINE,124150,437 (2),437 (2),437 (2),-,-,1210 (2),1210 (2),1210 (2),-,-,2162 (2),2162 (2),-
All India Quota,Open,Telangana,"Osmania Medical College, Hyderabad",MD RADIODIAGNOSIS,25000,333 (3),272 (3),526 (3),-,-,405 (3),405 (3),405 (3),-,-,318 (4),467 (4),1252 (1)
All India Quota,OBC,Punjab,"Government Medical College, Patiala",MD RADIODIAGNOSIS,125000,350 (1),350 (1),350 (1),-,-,1328 (1),1328 (1),2017 (1),-,-,1377 (2),1417 (2),-
All India Quota,SC,Maharashtra,"Seth GS Medical College & KEM Hospital, Mumbai",MD RADIODIAGNOSIS,143300,406 (1),406 (1),406 (1),-,-,2678 (1),2678 (1),2678 (1),-,-,-,-,-
All India Quota,Open,Tamil Nadu,"Madurai Medical College, Madurai",MD RADIODIAGNOSIS,50000,369 (2),369 (2),369 (2),-,-,285 (1),285 (1),285 (1),-,-,374 (2),517 (2),-
All India Quota,OBC,Gujarat,"BJ Medical College, Ahmedabad",MD RADIODIAGNOSIS,30000,390 (4),1079 (4),1079 (4),-,-,733 (2),1189 (2),1431 (2),3440 (1),-,626 (2),626 (2),-
DU,Open,Delhi,"University College of Medical Sciences & GTB Hospital, New Delhi",MD GENERAL MEDICINE,57600,397 (1),397 (1),476 (1),-,-,788 (3),788 (3),788 (3),-,-,478 (2),478 (2),-
