State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Rajasthan,"GBH American Hospital, Udaipur",Private,NBEMS,2006,1,150
Punjab,"Government Medical College, Amritsar",Govt,"Baba Farid University of Health Sciences, Faridkot",1943,147,0
Andhra Pradesh,"District Hospital, West Godavari",Govt,NBEMS,1962,2,500
Karnataka,"General Hospital, Sira, Tumkur",Govt,NBEMS,1916,2,500
Tamil Nadu,"Government Erode Medical College (Formerly IRT Medical College), Perundurai",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",1992,9,650
Uttar Pradesh,"District Women Hospital, Rekab Ganj",Govt,NBEMS,0,3,0
Gujarat,"Dr. Bankar Healthcare, Ahmedabad",Private,NBEMS,2023,0,0
Kerala,"Dr. Tony's Super Speciality Eye Institute, Ernakulam",Private,NBEMS,2008,1,19
Delhi,"ESI Hospital, Jhilmil",Govt,NBEMS,1977,0,300
Telangana,"General Hospital, Karimnagar",Govt,NBEMS,1920,4,500
Gujarat,"GMERS Medical College, Rajpipla",Govt-Private,"Veer Narmad South Gujarat University, Surat",2022,2,600
Maharashtra,"Dr. RN Cooper Municipal General Hospital, Mumbai",Govt,NBEMS,1969,21,580
Tamil Nadu,"GEM Hospital, Chennai",Private,NBEMS,2012,0,100
Chhattisgarh,"Government Medical College, Kanker",Govt,"Pt. Deendayal Upadhyay Memorial Health Sciences and Ayush University, Raipur",2021,0,380
Madhya Pradesh,"Government Medical College, Shahdol",Govt,"Madhya Pradesh Medical Science University, Jabalpur",2019,6,1400
West Bengal,"Imambara District Hospital, Hooghly",Govt,NBEMS,1900,18,625
Uttar Pradesh,"Hind Institute of Medical Sciences, Sitapur",Private,"King Georges Medical University, Lucknow",2015,59,500
Kerala,"Government Medical College, Manjeri, Malappuram",Govt,"Kerala University of Health Sciences, Thrissur",2013,6,516
Madhya Pradesh,"Gwalior Mansik Arogyashala, Gwalior",Govt,"Madhya Pradesh Medical Science University, Jabalpur",2022,4,220
Rajasthan,"Heart & General Hospital, Jaipur",Private,NBEMS,1987,0,50
Andhra Pradesh,"Dr. Ramana Raju's Visiontree Superspeciality Eye Care Center, Visakhapatnam",Private,NBEMS,0,1,20
Gujarat,"Drashti Nethralaya, Dahod",Private,NBEMS,1991,2,20
Gujarat,"ESIC Model Hospital, Ahmedabad",Govt,NBEMS,2006,9,300
Karnataka,"Fortis Hospital, Bangalore",Private,NBEMS,2006,0,119
Andhra Pradesh,"Government General Hospital, Vizianagaram",Govt,NBEMS,1988,19,430
Gujarat,"Government Medical College, Bhavnagar",Govt,"Maharaja Krishnakumarsinhji Bhavnagar University, Bhavnagar",1995,133,970
Gujarat,"GMERS Medical College, Gandhinagar",Govt-Private,"Gujarat University, Ahmedabad",2012,69,0
Rajasthan,"Government District Hospital, Bundi",Govt,NBEMS,1952,18,300
Maharashtra,"Dr. NY Tasgaonkar Institute of Medical Science, Karjat",Private,"Maharashtra University of Health Sciences, Nashik",2021,0,401
Maharashtra,"Dr. Panjabrao Alias Bhausaheb Deshmukh Memorial Medical College, Amravati",Private,"Maharashtra University of Health Sciences, Nashik",1984,55,830
Andhra Pradesh,"Dr. Ramesh Cardiac & Multi Speciality Hospital, Guntur",Private,NBEMS,1988,20,100
Haryana,"Delhi Hospital & Nursing Home, Jhajjar",Private,NBEMS,1990,6,60
Haryana,"District Civil Hospital, Hisar",Govt,NBEMS,1956,8,300
Madhya Pradesh,"District Hospital, Ratlam",Govt,NBEMS,1952,8,350
Karnataka,"Dr. Chandramma Dayananda Sagar Institute, Hubli",Private,"Dayananda Sagar University, Bangalore",2019,0,770
Rajasthan,"Dr. SS Tantia Medical College Hospital & Research Centre, Sri Ganganagar",Private,"Tantia Univeristy, Sri Ganganagar",2021,33,300
Maharashtra,"Endoworld Hospital, Aurangabad",Private,NBEMS,2010,2,50
Uttar Pradesh,"Gandhi Memorial & Associated Hospital, Lucknow",Govt,NBEMS,1914,0,1000
Madhya Pradesh,"Gastrocare Liver & Digestive Disease Center, Bhopal",Private,NBEMS,2006,0,100
Gujarat,"GMERS Medical College (General Hospital), Morbi",Govt,NBEMS,2015,15,500
Kerala,"Government General Hospital, Thiruvananthapuram",Govt,NBEMS,1865,6,747
Madhya Pradesh,"District Hospital, Ujjain",Govt,NBEMS,1956,5,450
Kerala,"Government District Hospital, Kannur",Govt,NBEMS,1934,1,616
Karnataka,"District Hospital, Vijayapura",Govt,NBEMS,1886,17,400
Rajasthan,"Government District Saadat Hospital, Tonk",Govt,NBEMS,1955,6,300
Uttar Pradesh,"District Combined Hospital, Vrindavan",Govt,NBEMS,2019,2,300
Uttar Pradesh,"District Women Hospital, Azamgarh",Govt,NBEMS,0,1,150
Kerala,"GG Hospital, Trivandrum",Private,NBEMS,2016,5,190
Goa,"Goa Medical College, Panaji",Govt,"Goa University, Goa",1963,140,1163
Jammu & Kashmir,"Government Hospital, Jammu",Govt,NBEMS,0,12,0
Rajasthan,"Government Medical College, Sirohi",Govt,"Rajasthan University of Health Sciences, Jaipur",2022,0,550
Gujarat,"Government Medical College, Surat",Govt,"Veer Narmad South Gujarat University, Surat",1964,238,1260
West Bengal,"Infectious Diseases & Beliaghata General Hospital, Kolkata",Govt,NBEMS,1945,4,600
Pondicherry,"Indira Gandhi Medical College & Research Institute, Puducherry",Govt,"Pondicherry University, Pondicherry",2010,60,750
Tamil Nadu,"Government Medical College, Nagapattinam",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,300
Himachal Pradesh,"Government Medical College, Nahan, Sirmour",Govt,"Himachal Pradesh University, Shimla",2016,5,313
Madhya Pradesh,"Government Medical College, Vidisha",Govt,"Madhya Pradesh Medical Science University, Jabalpur",2018,51,0
Telangana,"Government Medical College, Wanaparthy",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2022,0,0
Telangana,"Government Medical College, Vikarabad",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,0
Maharashtra,"Indira IVF Hospital, Pune",Private,NBEMS,2016,0,40
Madhya Pradesh,"Government Medical College, Shivpuri",Govt,"Madhya Pradesh Medical Science University, Jabalpur",2019,21,300
Tamil Nadu,"Government Medical College, Thiruvallur",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2021,0,330
Telangana,"Government Medical College, Ramagundam",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2022,0,500
Rajasthan,"Government RDBP Jaipuria Hospital, Jaipur",Govt,NBEMS,1991,17,0
Kerala,"Government TD Medical College, Alappuzha",Govt,"Kerala University of Health Sciences, Thrissur",1963,80,1572
Tamil Nadu,"Hannah Joseph Hospital, Madurai",Private,NBEMS,2008,2,150
Gujarat,"Government Medical College, Panchmahal Godhra",Govt,"Shri Govind Guru University, Godhara",2022,0,500
Uttar Pradesh,"Government Medical College, Rampur, Basti",Govt,"King Georges Medical University, Lucknow",2019,22,500
Assam,"Hayat Hospital, Guwahati",Private,NBEMS,2004,7,200
Kerala,"Government Medical College, Pariyaram, Kannur",Govt,"Kerala University of Health Sciences, Thrissur",1995,36,1200
Gujarat,"Gujarat Adani Institute of Medical Sciences, Bhuj",Private,"KSKV Kachchh University, Bhuj",2009,94,750
Chandigarh,"Government Multi Specialty Hospital, Chandigarh",Govt,NBEMS,0,37,500
Karnataka,"Healthcare Global Specialty Hospital, Bangalore",Private,NBEMS,1989,6,250
Gujarat,"Hospital for Mental Health, Vadodara",Govt,NBEMS,1898,3,300
Tamil Nadu,"Government Mohan Kumaramangalam Medical College, Salem",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",1986,95,1642
Karnataka,"Haveri Institute of Medical Sciences, Haveri",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2022,0,0
Madhya Pradesh,"Index Medical College Hospital & Research Centre, Indore",Private,"Malwanchal University, Indore",2007,184,1100
Rajasthan,"Gurukripa Hospitals, Sikar",Private,NBEMS,2012,7,100
Tamil Nadu,"Hindusthan Hospital, Coimbatore",Private,NBEMS,2004,2,250
Maharashtra,"Holy Family Hospital, Mumbai",Private,NBEMS,1942,15,268
Andhra Pradesh,"Government Siddhartha Medical College, Vijayawada",Govt,"Dr. NTR University of Health Sciences, Vijayawada",1980,152,0
Tamil Nadu,"Government Vellore Medical College, Vellore",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2005,50,500
Punjab,"Grecian Super Speciality Hospital, Mohali",Private,NBEMS,1982,2,450
Telangana,"Government Medical College, Mahabubabad",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,500
Tamil Nadu,"Government Sivagangai Medical College, Sivaganga",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2012,26,300
Punjab,"Hartej Hospital (Hartej Nursing Home), Amritsar",Private,NBEMS,1984,3,50
Uttar Pradesh,"Heritage Hospital, Varanasi",Private,NBEMS,1994,4,150
Telangana,"Government Medical College, Nirmal",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2023,0,500
Maharashtra,"HCG Cancer Centre, Mumbai",Private,NBEMS,2017,2,119
Telangana,"Government Medical College, Mancherial",Govt,"Kaloji Narayana Rao University of Health Sciences, Warangal",2022,0,500
Maharashtra,"Government Medical College, Miraj",Govt,"Maharashtra University of Health Sciences, Nashik",1962,96,320
Uttar Pradesh,"GSVM Medical College, Kanpur",Govt,"CSJM University, Kanpur",1955,171,0
Kerala,"Holy Cross Hospital, Kollam",Private,NBEMS,1952,4,390
Tamil Nadu,"Government Villupuram Medical College, Villupuram",Govt,"The Tamilnadu Dr. MGR Medical University, Chennai",2010,48,1150
West Bengal,"Haldia Sub-Divisional Hospital, Medinipur",Govt,NBEMS,2004,1,250
Karnataka,"Hassan Institute of Medical Sciences, Hassan",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2006,61,750
Andhra Pradesh,"Indlas Hospitals, Vijayawada",Private,NBEMS,1983,2,100
Maharashtra,"Grant Medical College, Mumbai",Govt,"Maharashtra University of Health Sciences, Nashik",1845,307,2844
Delhi,"Hamdard Institute of Medical Sciences & Research, New Delhi",Deemed,"University of Jamia Hamdard (Hamdard University), New Delhi",2012,49,740
Gujarat,"HCG Cancer Centre, Vadodara",Private,NBEMS,2016,0,100
Uttar Pradesh,"Heritage Institute of Medical Sciences, Varanasi",Private,"Mahatma Gandhi Kashi Vidyapith, Varanasi",2015,56,500
Rajasthan,"HCG Hospital, Jaipur",Private,NBEMS,2004,0,150
Rajasthan,"Government. BDK Hospital, Jhunjhunu",Govt,NBEMS,1952,31,300
Karnataka,"Gulbarga Institute of Medical Sciences, Gulbarga",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2015,66,0
Odisha,"Hi Tech Medical College & Hospital, Rourkela",Private,"Sambalpur University, Burla",2012,10,400
Uttar Pradesh,"Icon Hospital, Lucknow",Private,NBEMS,2013,2,100
Tamil Nadu,"Gunam Super Speciality Hospital, Hosur",Private,NBEMS,2013,6,100
Uttar Pradesh,"ICARE Eye Hospital & Postgraduate Institute, Noida",Private,NBEMS,1993,2,70
Maharashtra,"Government Medical College, Latur",Govt,"Maharashtra University of Health Sciences, Nashik",2002,70,770
Karnataka,"Kauvery Hospital, Bangalore",Private,NBEMS,2020,16,200
Uttar Pradesh,"Max Super Speciality Hospital, Lucknow",Private,NBEMS,0,9,299
Delhi,"Jaipur Golden Hospital, New Delhi",Private,NBEMS,1991,20,242
Gujarat,"Jamnabai General Hospital, Vadodara",Govt,NBEMS,1937,2,0
Uttar Pradesh,"Kailash Hospital & Heart Institute, Noida",Private,NBEMS,0,7,325
Tamil Nadu,"Kanyakumari Medical Mission CSI Mission Hospital, Kanyakumari",Private,NBEMS,1954,2,350
Maharashtra,"KJ Somaiyya Medical College & Research Centre, Mumbai",Private,"Maharashtra University of Health Sciences, Nashik",1991,34,556
Gujarat,"Mahavir Hospital Manish IVF Center, Surendranagar",Private,NBEMS,2000,2,50
Uttar Pradesh,"Kamla Nehru Memorial Hospital, Allahabad",Private,NBEMS,1931,3,376
Uttar Pradesh,"LLRM Medical College, Meerut",Govt,"Chaudhary Charan Singh University, Meerut",1966,141,1040
Telangana,"Mahavir Institute of Medical Sciences, Vikarabad",Private,"Dr. NTR University of Health Sciences, Vijayawada",2016,39,750
Andhra Pradesh,"Mallika Hospitals (Formerly Mallika Spine Centre), Guntur",Private,NBEMS,2005,0,0
Karnataka,"Institute of Gastroenterology Sciences & Organ Transplant, Bangalore",Govt,NBEMS,2016,0,113
Manipur,"Jawaharlal Nehru Institute of Medical Sciences, Porompet, Imphal",Govt,"Manipur University, Imphal",2010,90,576
Karnataka,"Jawaharlal Nehru Medical College, Belgaum",Deemed,"KLE Academy of Higher Education & Research (Deemed), Belgaum",1963,217,2400
Bihar,"Loknayak Jaiprakash Narayan Hospital, Patna",Govt,NBEMS,1979,2,750
Haryana,"Maharishi Markandeshwar College of Medical Sciences & Research, Sadopur",Deemed,"Maharishi Marakandeshwar University (Deemed), Mullana, Ambala",2023,0,605
Karnataka,"Manipal Hospital, Yeshwanthpur, Bangalore",Private,NBEMS,0,5,160
Odisha,"Jaiprakash Hospital & Research Centre, Rourkela",Private,NBEMS,2004,18,307
Kerala,"KJK Hospital Fertility Research & Gynaec Centre, Thiruvananthapuram",Private,NBEMS,2000,0,22
Karnataka,"Karwar Institute of Medical Sciences, Karwar",Govt,"Rajiv Gandhi University of Health Sciences, Bangalore",2016,51,579
Tamil Nadu,"Krishnakumar Orthopedic Hospital, Nagercoil",Private,NBEMS,1993,2,100
Odisha,"National Institute of Rehabilitation Training & Research, Cuttack",Govt,NBEMS,1984,2,100
Telangana,"Nizams Institute of Medical Sciences, Hyderabad",Govt,"Nizams Institute of Medical Sciences (Deemed), Hyderabad",1961,90,1489
West Bengal,"Rabindranath Tagore International Institute of Cardiac Sciences, Kolkata",Private,NBEMS,2001,28,550
Andhra Pradesh,"Rajiv Gandhi Institute of Medical Sciences, Srikakulam",Govt,"Dr. NTR University of Health Sciences, Vijayawada",2008,92,800
Uttar Pradesh,"Rajshree Medical Research Institute, Bareilly",Private,"Mahatma Jyotiba Phule Rohilkhand University, Bareilly",2014,77,0
Delhi,"National Heart Institute, New Delhi",Private,NBEMS,1981,4,100
Maharashtra,"Pandit Madan Mohan Malaviya Shatabdi Hospital, Mumbai",Govt,NBEMS,1982,12,210
Karnataka,"Prasad Netralaya Superspeciality Eye Hospital, Udupi",Private,NBEMS,2005,4,50
Tamil Nadu,"KMCH Institute of Health Sciences & Research, Coimbatore",Private,"The Tamilnadu Dr. MGR Medical University, Chennai",2019,0,600
Haryana,"Metro Heart Institute with Multispecialty, Faridabad",Private,NBEMS,2002,13,400
Maharashtra,"Khan Bahadur Bhabha Hospital, Mumbai",Public Sector,NBEMS,1959,15,436
Andhra Pradesh,"KIMS Hospital, Kurnool",Private,NBEMS,2000,7,200
Rajasthan,"Magnus Hospital, Udaipur",Private,NBEMS,2013,2,50
Telangana,"Mallareddy Medical College for Women, Hyderabad",Private,"Dr. NTR University of Health Sciences, Vijayawada",2013,114,650
Kerala,"MK Haji Orphanage Hospital, Malappuram",Private,NBEMS,1996,1,100
Delhi,"Institute of Liver & Biliary Sciences, New Delhi",Govt,"ILBS (Autonomous), Delhi",2010,0,300
Odisha,"Mahanadi Netra Chitsalaya, Sonapur",Private,NBEMS,2005,1,30
Maharashtra,"Mahatma Gandhi Missions Medical College, Navi Mumbai",Deemed,"MGM Institute of Health Sciences (Deemed), Navi Mumbai",1989,136,1200
Karnataka,"Manipal Hospital, Sarjapur Road, Bangalore",Private,NBEMS,1991,7,206
Bihar,"Jayprabha Medanta Superspeciality Hospital, Patna",Private,NBEMS,2019,7,500
Pondicherry,"JIPMER, Puducherry",Govt,"Statutory Autonomous, Puducherry",1956,0,2059
Delhi,"Joint Accr. Mahajan Imaging & Labs (Sir Ganga Ram Hospital), New Delhi",Private,NBEMS,0,2,560
Rajasthan,"Kamla Nagar Hospital, Jodhpur",Private,NBEMS,1989,1,0
West Bengal,"Kandi Sub Divisional Hospital, Murshidabad",Govt,NBEMS,1976,1,100
Rajasthan,"Maitri Hospital, Kota",Private,NBEMS,2001,2,160
Haryana,"Metro Hospital & Heart Institute, Gurugram",Private,NBEMS,0,2,250
Punjab,"Joint Accr. Amandeep Medicity Mall Road & Amandeep Hospital, Model Town, Amritsar",Private,NBEMS,1990,0,110
Tamil Nadu,"KG Hospital & PG Medical Institute, Coimbatore",Private,NBEMS,1990,23,300
Tamil Nadu,"Krishna Maternity Home & Pediatric Centre, Palayamkottai",Private,NBEMS,1985,2,40
Pondicherry,"Mahatma Gandhi Medical College & Research Institute, Pondicherry",Deemed,"Sri Balaji Vidyapeeth (Deemed), Pondicherry",2002,173,1140
Andhra Pradesh,"Medicover Hospitals MVP, Visakhapatnam",Private,NBEMS,2019,9,200
Kerala,"Lisie Medical Institution, Kochi",Private,NBEMS,1956,19,750
Maharashtra,"Maharashtra Post Graduate Institute of Medical Education & Research, Nashik",Govt,"Maharashtra University of Health Sciences, Nashik",2021,77,430
Maharashtra,"Medicare Multispeciality Hospital, Pusad, Yavatmal",Private,NBEMS,2007,9,100
Telangana,"MNR Medical College & Hospital, Sangareddy",Private,"Kaloji Narayana Rao University of Health Sciences, Warangal",2002,126,850
Maharashtra,"Institute of Navel Medicine, INHS, Aswini",AFMS,"Maharashtra University of Health Sciences, Nashik",1972,43,825
Kerala,"Lakeshore Hospital & Research Centre, Ernakulam",Private,NBEMS,2003,10,470
Andhra Pradesh,"Latha Super Specialty Hospital, Vijayawada",Private,NBEMS,2008,0,150
Maharashtra,"Masai Children's Hospital, Kolhapur",Private,NBEMS,1993,1,103
Uttar Pradesh,"Moti Lal Nehru Medical College, Allahabad",Govt,"King Georges Medical University, Lucknow",1961,172,1000
Uttar Pradesh,"Maharaja Suhel Dev Medical College & Mahrishi Balark Hospital, Bahraich",Govt,NBEMS,2019,10,500
Uttar Pradesh,"Metro Heart Institute, Noida",Private,NBEMS,1997,2,0
Kerala,"Metropolitan Hospital, Thrissur",Private,NBEMS,1986,0,250
West Bengal,"KPC Medical College, Jadavpur, Kolkata",Private,"West Bengal University of Health Sciences, Kolkata",2008,70,700
Tamil Nadu,"Meenakshi Hospital, Tanjore",Private,NBEMS,2013,3,100
Tamil Nadu,"MGM Health Care, Chennai",Private,NBEMS,2018,19,200
Uttar Pradesh,"KK Hospital, Lucknow",Private,NBEMS,1992,1,101
Andhra Pradesh,"Krishna Institute of Medical Sciences, Nellore",Private,NBEMS,2000,0,250
Uttar Pradesh,"Mahamaya Rajkiya Allopathic Medical College, Ambedkarnagar",Govt,"Dr. Ram Manohar Lohia Avadh University, Faizabad",2011,5,500
Andhra Pradesh,"Kanumuri Hospital, Guntur",Private,NBEMS,2011,3,100
Haryana,"Medanta The Medicity, Gurgaon",Private,NBEMS,0,32,1391
Odisha,"Institute of Medical Sciences & SUM Hospital, Bhubaneswar",Deemed,"Siksha O Anusandhan University, Bhubaneswar",2007,170,0
Chhattisgarh,"Jan Swasthya Sahyog, Bilaspur",Private,NBEMS,1997,4,136
Tamil Nadu,"KMC Specialty Hospital, Trichy",Private,NBEMS,2008,17,200
Kerala,"Malabar Medical College, Kozhikode",Private,"Kerala University of Health Sciences, Thrissur",2010,54,0
West Bengal,"Manipal Hospitals (Formerly AMRI), Mukundapur, Kolkata",Private,NBEMS,2011,4,139
West Bengal,"Midnapore Medical College, Midnapore",Govt,"West Bengal University of Health Sciences, Kolkata",2001,61,1031
