State,Institute,Institute Type,University,Year of Establishment,Total PG Seats,Total Hospital Beds
Andhra Pradesh,"Apollo Hospital, Visakhapatnam",Private,NBEMS,2016,8,350
Andhra Pradesh,"Andhra Medical College, Visakhapatnam",Govt,"Dr. NTR University of Health Sciences, Vijayawada",1923,318,0
Assam,"Assam Medial College, Dibrugarh",Govt,"Srimanta Shankardeva University of Health Sciences, Guwahati",1947,191,0
Tamil Nadu,"Cancer Institute (WIA), Chennai",Private,NBEMS,1954,3,200
Chhattisgarh,"Central Hospital, SEC Railway, Bilaspur",Public Sector,NBEMS,2003,7,104
Haryana,"Al Aafia Civil Hospital, Alwar",Govt,NBEMS,2007,2,50
Karnataka,"Bangalore Baptist Hospital, Hebbal",Private,NBEMS,1973,41,450
Rajasthan,"Bhandari Hospital & Research Centre, Jaipur",Private,NBEMS,1984,4,150
Uttar Pradesh,"Aanandlok Remedial Research Centre, Gorakhpur",Private,NBEMS,0,4,100
Telangana,"AIG Hospital, Hyderabad",Private,NBEMS,2018,16,720
Chhattisgarh,"Apollo Hospital, Bilaspur",Private,NBEMS,2001,12,300
