Round,AI Rank,State,Institute,Course,Quota,Category,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,
1,1230,Delhi,"MAMC, Delhi",PAEDIATRICS,AIQ,GEN,"?16,200","?1,32,336",1,"? 2,000,000",2800,
1,1232,Maharashtra,"Breach Candy Hospital, Mumbai",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","?89,489",0,? 0,213,
1,1233,West Bengal,"Apollo Gleneagles, Kolkata",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,"? 125,000","?61,634",0,? 0,750,
1,1234,Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,OBC,"?14,093","?87,216",2,"? 15,000,000",5702,
1,1235,Rajasthan,"SP Med Coll, Bikaner",GENERAL MEDICINE,AIQ,GEN,"?14,093","?87,216",2,"? 15,000,000",1570,
1,1236,Maharashtra,"Holy Spirit Hospital, Mumbai",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","? 86,630",0,? 0,300,
1,1238,Haryana,"Artemis Health Inst, Gurgaon",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","? 56,000",0,? 0,520,
1,1239,Delhi,"MAMC, Delhi",PAEDIATRICS,DU,GEN,"?16,200","?1,32,336",1,"? 2,000,000",2800,
1,1241,Tamil Nadu,"Govt Med Coll, Omandurar",GENERAL MEDICINE,AIQ,GEN,"?50,000","?54,025",2,"?40,00,000",Info Not Available,
1,1242,Karnataka,"Mysore Med Coll, Mysore",GENERAL MEDICINE,AIQ,OBC,"?1,23,400","? 56,250",1,"?50,00,000",1050,
1,1243,Punjab,"Govt Med Coll, Amritsar",GENERAL MEDICINE,AIQ,GEN,"?1,25,000","?76,000",2,"?20,00,000",951,
1,1244,Maharashtra,"Govt Med Coll, Miraj",RADIO DIAGNOSIS,AIQ,OBC,"?1,57,100","? 93,559",1,"? 5,000,000",725,
1,1245,Jammu and Kashmir,"Govt Med Coll, Jammu",GENERAL MEDICINE,AIQ,GEN,"?25,000","? 63,240",0,?0,2663,
1,1246,Kerala,"Govt Med Coll, Kozhikode",PAEDIATRICS,AIQ,GEN,"?69,470","? 57,876",1,"?50,00,000",3025,
1,1247,Andhra Pradesh,"SV Med Coll, Tirupati",GENERAL MEDICINE,AIQ,GEN,"?30,000","? 60,823",0,?0,940,
1,1248,Maharashtra,"Breach Candy Hospital, Mumbai",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","?89,489",0,? 0,213,
1,1249,Madhya Pradesh,"Gajra Raja Med Coll, Gwalior",GENERAL MEDICINE,AIQ,GEN,"?1,01,500","? 75,444",1,"?10,00,000",1100,
1,1250,Delhi,"UCMS, Delhi",OBG,AIQ,GEN,"?47,220","?1,32,336",1,"? 2,000,000",1000,
1,1251,Delhi,"MAMC, Delhi",GENERAL SURGERY,DU,GEN,"?16,200","?1,32,336",1,"? 2,000,000",2800,
1,1252,Delhi,"VMMC, Delhi",PAEDIATRICS,AIQ,GEN,"?15,000","?1,20,965",1,"? 2,000,000",1550,
1,1253,Maharashtra,"HurkisondasNurrotumdas, Mumbai",DNBGENERAL MEDICINE,DNB Post MBBS,GEN,"? 125,000","? 94,000",0,? 0,360,
1,1254,Kerala,"KIMS, Trivandrum",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"? 125,000","? 57,876",0,? 0,650,
1,1256,Tamil Nadu,"Madras Med Coll, Chennai",DERMATOLOGY,AIQ,OBC,"?50,000","?54,025",2,"?40,00,000",7285,
1,1257,Maharashtra,"Lokmanya Tilak, Sion, Mumbai",GENERAL SURGERY,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",1462,
1,1258,Gujarat,"MP Shah, Jamnagar",GENERAL MEDICINE,AIQ,EWS,"?30,000","? 100,800",1,"?40,00,000",1250,
1,1259,Manipur,"RIMS, Imphal",GENERAL MEDICINE,AIQ,GEN,"?5,000","? 109,926",1,"?20,00,000",1074,
1,1260,West Bengal,Bankura Sammilani Med Coll,RADIO DIAGNOSIS,AIQ,GEN,"?12,000","? 61,634",3,"?30,00,000",1441,
1,1261,Delhi,"UCMS, Delhi",OBG,AIQ,GEN,"?47,220","?1,32,336",1,"? 2,000,000",1000,
1,1262,Maharashtra,"Govt Med Coll, Nanded",RADIO DIAGNOSIS,AIQ,GEN,"?1,57,100","? 93,559",1,"? 5,000,000",750,
1,1263,Tamil Nadu,"Govt Med Coll, Omandurar",GENERAL MEDICINE,AIQ,GEN,"?50,000","?54,025",2,"?40,00,000",Info Not Available,
1,1264,Rajasthan,"SNMC, Jodhpur",GENERAL MEDICINE,AIQ,OBC,"?14,093","?87,216",2,"? 15,000,000",3101,
1,1265,Delhi,"MAMC, Delhi",ENT,AIQ,GEN,"?16,200","?1,32,336",1,"? 2,000,000",2800,
1,1266,Delhi,"ABVIMS (Dr RML Hosp), Delhi",RADIO DIAGNOSIS,IP,GEN,"? 51,000","? 136,008",1,"? 2,000,000",1626,
1,1267,Delhi,"MAMC, Delhi",GENERAL SURGERY,AIQ,OBC,"?16,200","?1,32,336",1,"? 2,000,000",2800,
1,1269,Manipur,"RIMS, Imphal",GENERAL MEDICINE,AIQ,GEN,"?5,000","? 109,926",1,"?20,00,000",1074,
1,1270,Telangana,"Kakatiya Med Coll, Warangal",GENERAL MEDICINE,AIQ,GEN,"?15,000","? 67,032",1,"? 2,000,000",1150,
1,1271,Odisha,"SCB, Cuttack",PAEDIATRICS,AIQ,GEN,"?35,000","? 73,042",2,"?55,09,464",2106,
1,1272,Rajasthan,"JLNMC, Ajmer",GENERAL MEDICINE,AIQ,GEN,"?14,093","?87,216",2,"? 15,000,000",1428,
1,1273,Tamil Nadu,Coimbatore Med Coll,GENERAL MEDICINE,AIQ,OBC,"?50,000","?54,025",2,"?40,00,000",1182,
1,1274,Delhi,"MAMC, Delhi",GENERAL MEDICINE,DU,EWS,"?16,200","?1,32,336",1,"? 2,000,000",2800,
1,1275,Rajasthan,"RNT, Udaipur",GENERAL MEDICINE,AIQ,OBC,"?14,093","?87,216",2,"? 15,000,000",2206,
1,1277,Andhra Pradesh,"Andhra Med Coll, Vizag",GENERAL MEDICINE,AIQ,OBC,"?30,000","? 60,823",0,?0,1030,
1,1278,Bihar,"Patna Med Coll, Patna",DERMATOLOGY,AIQ,GEN,"?9,000","? 82,000",2,"?25,00,000",1748,
